y_pred_proba,y_true
0.90426344,1
0.91000444,1
0.8185525,1
0.9072475,1
0.80639476,0
0.88865423,0
0.7369665,0
0.8055359,1
0.89715177,1
0.9046319,1
0.890181,1
0.9045172,1
0.91345197,1
0.5021755,0
0.8585907,1
0.876656,1
0.22671711,0
0.90581113,1
0.48576823,1
0.8947024,1
0.8440701,1
0.8866354,1
0.90940017,1
0.7475032,0
0.9088263,1
0.9074022,1
0.5318357,1
0.9104746,1
0.8250146,0
0.60717815,0
0.9044364,1
0.91473025,1
0.8948366,0
0.8607831,0
0.28263864,1
0.7595496,1
0.9063988,1
0.74069613,1
0.75590223,1
0.90840024,0
0.5044514,1
0.35720274,0
0.91212064,1
0.91370964,1
0.2621691,0
0.24840878,0
0.9113137,1
0.7809631,0
0.9127909,1
0.8656762,1
0.9026022,1
0.4363431,0
0.9088211,1
0.3957659,1
0.24140178,0
0.9086744,1
0.8850775,1
0.28598753,0
0.25043717,0
0.6335604,1
0.26941523,0
0.8924417,1
0.39846048,1
0.6437997,1
0.9039465,1
0.16302547,0
0.8924654,1
0.8437833,1
0.88238853,0
0.91334385,1
0.7917136,1
0.91016716,1
0.91494983,1
0.16909735,0
0.67127186,1
0.88783044,0
0.87139523,0
0.32000113,0
0.87942183,0
0.909544,1
0.19778076,0
0.914458,1
0.8208063,0
0.55066186,0
0.8897945,1
0.88975257,1
0.24676977,0
0.9151106,1
0.90036553,1
0.8627841,0
0.89702857,1
0.48163968,0
0.9079761,1
0.90940803,1
0.8287231,0
0.49752608,0
0.9090934,1
0.48909363,0
0.90421504,1
0.8473343,1
0.90281355,1
0.5154051,1
0.90386105,1
0.845365,1
0.90636057,1
0.69539946,0
0.85208607,1
0.9047341,1
0.6248403,0
0.4972148,1
0.90387774,1
0.22044154,0
0.91553843,1
0.9166185,1
0.19004014,0
0.88802475,1
0.87501144,0
0.21013656,0
0.7701107,1
0.88942605,1
0.90839845,1
0.81859493,1
0.6550571,0
0.8040401,0
0.7665397,0
0.8927782,1
0.90814227,1
0.9123648,1
0.16284676,0
0.19885984,0
0.9044464,1
0.9090561,1
0.68039936,0
0.9013733,1
0.9103735,1
0.17785451,0
0.9133977,1
0.71736985,0
0.8981661,1
0.9094434,1
0.2440937,0
0.9136673,1
0.9113149,1
0.90068656,1
0.9142866,1
0.9053816,1
0.15750884,0
0.9064218,1
0.8901701,1
0.9061968,1
0.9136939,1
0.50315654,0
0.88085365,1
0.3478653,1
0.91859686,1
0.29217753,0
0.89800304,1
0.9058342,1
0.8132679,1
0.897592,1
0.8358087,0
0.520842,0
0.88171864,1
0.894662,1
0.17946582,0
0.19666927,0
0.9052599,1
0.90401524,1
0.913828,1
0.66544324,1
0.33350548,0
0.91171074,1
0.39457965,0
0.39219508,0
0.8838827,1
0.25470853,0
0.8935524,1
0.9026974,1
0.900085,1
0.8050913,0
0.9119402,1
0.8682923,1
0.9156987,1
0.6117426,0
0.91175526,1
0.91308016,1
0.89501476,1
0.84895176,1
0.5794876,0
0.8659506,0
0.87312144,1
0.54897493,0
0.30494997,0
0.909718,1
0.51202136,1
0.91723025,1
0.19807306,0
0.91252196,1
0.8974531,1
0.40665302,0
0.8532152,1
0.6255094,0
0.5234022,0
0.91370106,1
0.9123359,1
0.9038763,1
0.8820454,0
0.9028532,1
0.893589,1
0.6644914,0
0.9088902,1
0.9132806,1
0.5579327,0
0.9074298,1
0.902352,1
0.9137813,1
0.82308453,1
0.38989025,0
0.2358162,0
0.876135,1
0.80711,1
0.9123222,1
0.9072175,1
0.78839606,0
0.17662178,0
0.65150386,0
0.21511166,0
0.5649007,1
0.9044304,1
0.6883063,0
0.41165438,0
0.911277,1
0.25828508,1
0.9082398,1
0.91477835,1
0.90815926,1
0.15457962,0
0.91937935,1
0.91234523,1
0.9049142,1
0.91019577,1
0.9131573,1
0.91635627,1
0.8849587,1
0.9052021,1
0.9057358,1
0.16737595,0
0.6038873,1
0.27512497,0
0.9171956,1
0.9138687,1
0.9115018,1
0.18122226,0
0.9095583,1
0.9163944,1
